numDots,subdomainLevel,pathLevel,urlLength,numDash,numUnderscore,numPercent,numQueryComponents,numApersand,numDigits,https,ipAddress,hostnameLength,pathLength,queryLength,type
2,0,2,39,0,0,0,0,0,4,1,0,14,17,0,1
2,0,1,33,0,0,0,0,0,0,1,0,12,14,0,0
1,0,3,48,1,0,0,0,0,6,1,0,11,30,0,0
1,0,0,27,0,0,0,0,0,0,1,0,19,1,0,0
2,0,1,111,12,0,0,0,0,12,0,0,12,92,0,0
2,0,4,76,0,3,0,0,0,0,1,0,16,53,0,0
1,0,2,43,2,0,0,0,0,4,1,0,8,28,0,0
3,1,2,84,8,0,0,0,0,0,0,0,25,52,0,1
1,0,0,60,4,0,0,1,0,8,0,0,13,1,38,0
3,1,3,95,8,0,0,0,0,11,0,0,36,52,0,0
3,1,3,50,0,0,0,0,0,0,0,0,16,27,0,1
2,1,3,57,1,0,0,0,0,0,0,0,17,33,0,0
1,0,3,127,13,0,0,0,0,0,1,0,16,104,0,0
2,0,3,141,0,0,2,0,0,24,0,0,15,119,0,0
1,0,2,53,5,0,0,0,0,11,1,0,10,36,0,0
2,1,1,43,2,0,0,0,0,0,0,0,18,18,0,1
2,1,2,45,0,1,0,0,0,0,1,0,16,22,0,0
5,1,4,96,3,0,0,0,0,4,0,0,33,56,0,0
2,0,1,34,0,0,0,0,0,2,1,0,14,13,0,0
1,0,3,50,1,0,0,0,0,10,1,0,12,31,0,0
4,1,4,51,0,0,0,0,0,12,1,0,23,21,0,1
2,0,1,77,0,1,0,4,3,7,1,0,9,10,50,1
5,3,3,70,0,0,0,0,0,4,0,0,41,22,0,0
1,0,1,43,2,0,0,0,0,0,0,0,21,15,0,0
3,1,1,33,0,0,0,0,0,0,0,0,16,10,0,1
1,0,1,63,0,0,15,0,0,19,0,1,9,47,0,1
2,1,4,94,1,1,0,0,0,17,1,0,23,64,0,0
3,0,2,47,0,0,0,1,0,5,0,0,14,15,10,1
1,0,0,26,0,0,0,0,0,0,0,0,18,1,0,0
3,1,1,42,2,0,0,0,0,14,1,0,13,22,0,1
3,0,2,103,0,0,0,3,2,25,1,0,23,18,54,1
4,0,1,31,0,0,0,0,0,17,0,1,21,3,0,1
3,0,3,96,11,0,0,0,0,12,1,0,13,76,0,0
4,1,4,53,0,0,0,0,0,14,1,0,23,23,0,1
4,0,4,54,0,0,0,0,0,0,1,0,10,37,0,1
3,0,2,900,0,0,0,1,0,144,0,0,15,13,864,1
1,0,4,81,9,0,0,0,0,5,0,0,13,61,0,0
1,0,1,38,1,1,2,0,0,2,1,0,6,25,0,0
3,1,1,53,0,2,0,0,0,0,0,0,18,28,0,1
1,0,3,44,2,1,0,0,0,0,0,0,13,24,0,0
4,1,2,105,0,1,0,4,3,4,1,0,19,15,63,1
2,1,1,33,0,0,0,0,0,0,0,0,18,8,0,0
2,0,1,134,7,1,0,6,5,4,0,0,15,10,101,1
1,0,1,38,1,0,0,1,0,1,1,0,11,6,13,0
2,1,2,73,0,9,0,0,0,0,1,0,16,50,0,0
1,0,5,83,2,0,0,0,0,0,1,0,13,63,0,0
1,0,0,19,0,0,0,0,0,0,0,0,12,0,0,1
3,1,2,86,0,1,0,4,3,4,0,0,16,15,47,1
2,1,0,32,1,0,0,0,0,0,1,0,24,1,0,0
2,0,1,93,0,3,0,2,1,31,1,0,10,14,61,0
3,1,2,50,0,0,0,0,0,0,0,0,28,15,0,0
3,1,3,99,0,1,0,1,0,35,0,0,17,24,50,1
2,0,3,76,12,0,0,0,0,16,0,0,7,62,0,1
5,1,4,125,8,0,0,0,0,7,0,0,19,99,0,1
11,0,12,240,3,1,0,0,7,32,0,1,19,214,0,1
1,0,1,38,0,0,0,1,0,1,1,0,11,6,13,0
2,0,2,41,0,0,0,0,0,3,0,0,12,21,0,1
4,0,1,34,0,0,0,0,0,16,0,1,20,7,0,1
3,0,2,67,5,0,0,0,0,0,0,0,22,38,0,1
1,0,0,26,0,0,0,0,0,0,1,0,18,1,0,0
1,0,0,27,0,0,0,0,0,0,0,0,20,0,0,1
2,0,3,103,0,8,0,0,0,9,1,0,8,88,0,0
3,1,3,71,2,0,0,0,0,6,0,0,30,34,0,0
3,0,3,103,0,0,0,1,0,26,0,0,10,29,12,1
2,1,2,34,0,0,0,0,0,4,1,0,14,13,0,1
6,2,2,348,0,0,23,6,5,57,1,0,21,12,307,1
1,0,4,63,1,0,0,0,0,6,1,0,14,42,0,0
4,0,5,114,0,2,0,1,0,23,0,0,22,38,46,1
3,1,3,48,1,0,0,0,0,5,0,0,19,22,0,0
3,0,2,46,0,0,0,1,0,1,0,0,14,13,11,1
4,1,1,102,0,1,0,5,4,3,0,0,26,10,58,1
2,1,2,68,4,0,0,0,0,0,0,0,23,38,0,1
3,1,2,43,0,0,0,0,0,0,1,0,17,19,0,1
1,0,4,55,0,0,1,0,0,2,1,0,11,37,0,0
2,0,0,35,0,0,0,0,0,0,0,0,27,1,0,0
2,0,5,192,3,16,0,6,5,44,1,0,12,60,112,1
3,0,2,31,0,0,0,0,0,9,0,1,12,12,0,1
3,1,1,97,1,1,0,4,3,4,1,0,30,10,49,1
2,0,2,34,0,1,0,0,0,2,0,0,9,18,0,1
1,0,0,34,3,0,0,0,0,0,0,0,26,1,0,0
5,2,3,49,0,0,0,0,0,10,0,0,17,25,0,1
2,0,1,80,0,1,0,4,3,2,0,0,17,10,45,1
1,0,0,24,0,0,0,0,0,3,0,0,16,1,0,0
3,1,1,49,0,0,0,0,0,0,0,0,25,17,0,1
2,0,0,20,0,0,0,0,0,0,0,0,13,0,0,1
2,1,2,31,0,0,0,0,0,0,0,0,13,11,0,0
2,1,2,36,0,0,0,0,0,1,0,0,11,18,0,1
3,0,2,324,0,0,0,1,0,46,0,0,15,13,288,1
1,0,3,44,0,0,0,0,0,2,1,0,9,28,0,0
2,1,1,45,0,0,1,0,0,3,0,0,29,9,0,1
3,1,1,46,0,0,0,0,0,1,0,0,28,11,0,1
3,1,1,137,5,1,0,5,4,7,0,0,16,10,103,1
2,1,5,94,0,0,0,0,0,0,1,0,15,72,0,0
3,1,1,34,0,0,0,0,0,0,0,0,16,11,0,1
3,1,4,75,3,0,0,0,0,24,0,0,19,49,0,1
2,1,3,59,2,0,0,0,0,10,1,0,18,34,0,0
3,1,4,135,11,2,0,0,0,6,0,0,25,103,0,0
3,2,4,84,1,1,0,2,1,7,1,0,18,27,31,0
